r	g	b	lstr
255	0	0	225576185_Borrelia_118a_cp26_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225576201_Borrelia_118a_cp32-5_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225576019_Borrelia_118a_cp32-7-9_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225575897_Borrelia_118a_cp32-8_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225553178_Borrelia_118a_lp28-3_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225548805_Borrelia_118a_lp28-6_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225621574_Borrelia_118a_lp32-3_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225621652_Borrelia_118a_lp38_ABC_transporter
34	139	34	209901148_Klebsiella_12_dihydrofolate_reductase
34	139	34	209901180_Klebsiella_12_dihydropteroate_synthase
34	139	34	209901181_Klebsiella_12_streptomycin_3''-kinase
34	139	34	209901183_Klebsiella_12_truncated_transposase
34	139	34	209901184_Klebsiella_12_beta-lactamase
34	139	34	209901187_Klebsiella_12_aminoglycoside_resistance_protein
34	139	34	209901200_Klebsiella_12_beta-lactamase
255	0	0	219723164_Borrelia_156a_cp32-11_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	219723233_Borrelia_156a_cp32-3_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	219870081_Borrelia_156a_cp32-7_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	219723046_Borrelia_156a_cp32-8_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	219872606_Borrelia_156a_lp25_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	219786722_Borrelia_156a_lp28-6_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	219873170_Borrelia_156a_lp38_ABC_transporter
255	0	0	219873185_Borrelia_156a_lp38_multidrug-efflux_transporter
34	139	34	209901052_Klebsiella_15S_beta-lactamase
255	0	0	94972372_Lawsonia_1Law_chromosome-partitioning_ATPase
255	0	0	226246805_Borrelia_29805_cp26_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	226315812_Borrelia_29805_cp32-5_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	226246847_Borrelia_29805_cp32-7_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	226234718_Borrelia_29805_lp25_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	226315664_Borrelia_29805_lp28-2_stage_0_sporulation_protein_J
255	0	0	226246516_Borrelia_29805_lp28-3_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	226234368_Borrelia_29805_lp28-6_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	226315712_Borrelia_29805_lp38_ABC_transporter
255	0	0	218511203_Escherichia_55989p_AatC_ATB_binding_protein_of_ABC_transporter
255	0	0	223987664_Borrelia_64b_cp26_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	224022863_Borrelia_64b_cp32-11_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	223987674_Borrelia_64b_cp32-3-8_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	223987687_Borrelia_64b_cp32-3-8_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	224022824_Borrelia_64b_cp32-5_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	224022937_Borrelia_64b_cp32-7_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	224796429_Borrelia_64b_lp28-3_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	224984516_Borrelia_64b_lp38_ABC_transporter
255	0	0	221317040_Borrelia_72a_cp26_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	221316914_Borrelia_72a_cp32-2-7_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	221316828_Borrelia_72a_cp32-3_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	221642600_Borrelia_72a_cp32-5_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	224985608_Borrelia_72a_lp38_ABC_transporter
255	0	0	225576230_Borrelia_94a_cp26_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225576090_Borrelia_94a_cp32-11_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225575871_Borrelia_94a_cp32-5_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225576153_Borrelia_94a_cp32-7_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225548748_Borrelia_94a_lp28-3_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	225621969_Borrelia_94a_lp56_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
34	139	34	209901062_Klebsiella_9_beta-lactamase
34	139	34	209901073_Klebsiella_9_beta-lactamase
34	139	34	209901082_Klebsiella_9_excinuclease_ABC
255	0	0	224984574_Borrelia_A14S_lp28-3_CobQ/CobB/MinD/ParA_nucleotide_binding_domai
255	0	0	224984469_Borrelia_A14S_lp28-8_ABC_transporter
